 H    + hν  , → , H⁺    + e⁻            , Photoionization ,
 H₂   + hν  , → , H₂⁺   + e⁻            , Photoionization ,
 H₂   + hν  , → , H⁺    + e⁻ + H        , Photoionization ,
 He   + hν  , → , He⁺   + e⁻            , Photoionization ,
 CH₄  + hν  , → , CH₄⁺  + e⁻            , Photoionization ,
 CH₄  + hν  , → , CH₃⁺  + e⁻ + H        , Photoionization ,
 CH₄  + hν  , → , H₂⁺   + e⁻ + products , Photoionization ,
 C₂H₂ + hν  , → , C₂H₂⁺ + e⁻            , Photoionization ,
 C₂H₄ + hν  , → , C₂H₄⁺ + e⁻            , Photoionization ,
 C₂H₄ + hν  , → , C₂H₃⁺ + e⁻ + H        , Photoionization ,
 C₂H₄ + hν  , → , C₂H₂⁺ + e⁻ + products , Photoionization ,
 C₂H₄ + hν  , → , C₂H⁺  + e⁻ + products , Photoionization ,
 C₂H₆ + hν  , → , C₂H₆⁺ + e⁻            , Photoionization ,
 C₂H₆ + hν  , → , C₂H₅⁺ + e⁻ + H        , Photoionization ,
 C₂H₆ + hν  , → , C₂H₄⁺ + e⁻ + products , Photoionization ,
 C₂H₆ + hν  , → , C₂H₃⁺ + e⁻ + products , Photoionization ,
 C₂H₆ + hν  , → , C₂H₂⁺ + e⁻ + products , Photoionization ,
 H⁺    + e⁻ , → , H               , 4.0 × 10⁻¹²× ( Te/250.0)⁻⁰·⁷ , RC1 in Kim and Fox [1994] 
 He⁺   + e⁻ , → , He              , 4.0 × 10⁻¹²× ( Te/250.0)⁻⁰·⁷ , RC2 in Kim and Fox [1994] 
 HeH⁺  + e⁻ , → , H    +  He      , 1.0 × 10⁻⁸ × ( Te/300.0)⁻⁰·⁶ , RC3 in Kim and Fox [1994] 
 H₂⁺   + e⁻ , → , H    +  H       , 2.3 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁴ , RC4 in Kim and Fox [1994] 
 H₃⁺   + e⁻ , → , H₂   +  H       , 4.4 × 10⁻⁸ × ( Te/300.0)⁻⁰·⁵ , RC5 in Kim and Fox [1994] 
 H₃⁺   + e⁻ , → , H    +  H +  H  , 5.6 × 10⁻⁸ × ( Te/300.0)⁻⁰·⁵ , RC6 in Kim and Fox [1994] 
 C⁺    + e⁻ , → , C               , 4.0 × 10⁻¹²× ( Te/250.0)⁻⁰·⁷ , RC7 in Kim and Fox [1994] 
 CH⁺   + e⁻ , → , C    +  H       , 1.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁴² , RC8 in Kim and Fox [1994] 
 CH₂⁺  + e⁻ , → , CH   +  H       , 2.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC9 in Kim and Fox [1994] 
 CH₃⁺  + e⁻ , → , CH₂  +  H       , 3.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC10 in Kim and Fox [1994] 
 CH₄⁺  + e⁻ , → , CH₃  +  H       , 3.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC11 in Kim and Fox [1994] 
 CH₄⁺  + e⁻ , → , CH₂  +  H +  H  , 3.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC12 in Kim and Fox [1994] 
 CH₅⁺  + e⁻ , → , CH₂  +  H +  H₂ , 8.8 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC13 in Kim and Fox [1994] 
 CH₅⁺  + e⁻ , → , CH₃  +  H +  H  , 2.2 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC14 in Kim and Fox [1994] 
 C₂⁺   + e⁻ , → , C    +  C       , 3.0 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC15 in Kim and Fox [1994] 
 C₂H⁺  + e⁻ , → , C₂   +  H       , 2.7 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC16 in Kim and Fox [1994] 
 C₂H⁺  + e⁻ , → , CH   +  C       , 2.7 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC17 in Kim and Fox [1994] 
 C₂H₂⁺ + e⁻ , → , C₂H  +  H       , 2.7 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC18 in Kim and Fox [1994] 
 C₂H₂⁺ + e⁻ , → , CH   +  CH      , 2.7 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC19 in Kim and Fox [1994] 
 C₂H₃⁺ + e⁻ , → , C₂H₂ +  H       , 4.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC20 in Kim and Fox [1994] 
 C₂H₃⁺ + e⁻ , → , CH₂  +  CH      , 4.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC21 in Kim and Fox [1994] 
 C₂H₄⁺ + e⁻ , → , C₂H₃ +  H       , 3.0 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC22 in Kim and Fox [1994] 
 C₂H₄⁺ + e⁻ , → , CH₂  +  CH₂     , 3.0 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC23 in Kim and Fox [1994] 
 C₂H₅⁺ + e⁻ , → , C₂H₄ +  H       , 7.4 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC24 in Kim and Fox [1994] 
 C₂H₅⁺ + e⁻ , → , CH₃  +  CH₂     , 7.4 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC25 in Kim and Fox [1994] 
 C₂H₆⁺ + e⁻ , → , C₂H₅ +  H       , 3.0 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC26 in Kim and Fox [1994] 
 C₂H₆⁺ + e⁻ , → , CH₃  +  CH₃     , 3.0 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC27 in Kim and Fox [1994] 
 C₂H₇⁺ + e⁻ , → , C₂H₆ +  H       , 3.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC28 in Kim and Fox [1994] 
 C₃H⁺  + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC29 in Kim and Fox [1994] 
 C₃H₂⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC29 in Kim and Fox [1994] 
 C₃H₃⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC29 in Kim and Fox [1994] 
 C₃H₄⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC29 in Kim and Fox [1994] 
 C₃H₅⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC29 in Kim and Fox [1994] 
 C₃H₆⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC29 in Kim and Fox [1994] 
 C₃H₇⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC29 in Kim and Fox [1994] 
 C₃H₈⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC29 in Kim and Fox [1994] 
 C₃H₉⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC29 in Kim and Fox [1994] 
 C₄H⁺  + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC30 in Kim and Fox [1994] 
 C₄H₂⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC30 in Kim and Fox [1994] 
 C₄H₃⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC30 in Kim and Fox [1994] 
 C₄H₅⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC30 in Kim and Fox [1994] 
 C₄H₇⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC30 in Kim and Fox [1994] 
 C₄H₉⁺ + e⁻ , → , products        , 7.5 × 10⁻⁷ × ( Te/300.0)⁻⁰·⁵ , RC30 in Kim and Fox [1994] 
 H₂⁺   + H₂       , → , H₃⁺   + H             , 2.00 × 10⁻⁹ , R1 in Kim and Fox [1994] 
 H₂⁺   + H        , → , H⁺    + H₂            , 6.40 × 10⁻¹⁰ , R2 in Kim and Fox [1994] 
 H₂⁺   + He       , → , HeH⁺  + H             , 1.40 × 10⁻¹⁰ , R3 in Kim and Fox [1994] 
 H₂⁺   + CH₄      , → , CH₅⁺  + H             , 1.10 × 10⁻¹⁰ , R4 in Kim and Fox [1994] 
 H₂⁺   + CH₄      , → , CH₄⁺  + H₂            , 1.41 × 10⁻⁹ , R5 in Kim and Fox [1994] 
 H₂⁺   + CH₄      , → , CH₃⁺  + H   + H₂      , 2.28 × 10⁻⁹ , R6 in Kim and Fox [1994] 
 H₂⁺   + C₂H₂     , → , C₂H₃⁺ + H             , 4.77 × 10⁻¹⁰ , R7 in Kim and Fox [1994] 
 H₂⁺   + C₂H₂     , → , C₂H₂⁺ + H₂            , 4.82 × 10⁻⁹ , R8 in Kim and Fox [1994] 
 H₂⁺   + C₂H₆     , → , C₂H₆⁺ + H₂            , 2.94 × 10⁻¹⁰ , R9 in Kim and Fox [1994] 
 H₂⁺   + C₂H₆     , → , C₂H₅⁺ + H   + H₂      , 1.37 × 10⁻⁹ , R10 in Kim and Fox [1994] 
 H₂⁺   + C₂H₆     , → , C₂H₄⁺ + H₂  + H₂      , 2.35 × 10⁻⁹ , R11 in Kim and Fox [1994] 
 H₂⁺   + C₂H₆     , → , C₂H₃⁺ + H   + H₂ + H₂ , 6.86 × 10⁻¹⁰ , R12 in Kim and Fox [1994] 
 H₂⁺   + C₂H₆     , → , C₂H₂⁺ + H₂  + H₂ + H₂ , 1.96 × 10⁻¹⁰ , R13 in Kim and Fox [1994] 
 He⁺   + H₂       , → , H₂⁺   + He            , 9.35 × 10⁻¹⁵ , R14 in Kim and Fox [1994] 
 He⁺   + H₂       , → , H⁺    + H   + He      , 4.57 × 10⁻¹⁴ , R15 in Kim and Fox [1994] 
 He⁺   + H₂(ν≥2) , → , H⁺    + H   + He      , 1.0 × 10⁻⁹ , R16 in Kim and Fox [1994] 
 He⁺   + CH₄      , → , H⁺    + CH₃ + He      , 4.76 × 10⁻¹⁰ , R17 in Kim and Fox [1994] 
 He⁺   + CH₄      , → , CH⁺   + H₂  + H  + He , 2.38 × 10⁻¹⁰ , R18 in Kim and Fox [1994] 
