 CO₂    + hν , → , CO     + O       , Photodissociation , Chaffin et al. [2017] 
 CO₂    + hν , → , CO     + O(¹D)   , Photodissociation , Chaffin et al. [2017] 
 H₂O    + hν , → , H      + OH      , Photodissociation , Chaffin et al. [2017] 
 H₂O    + hν , → , H₂     + O(¹D)   , Photodissociation , Chaffin et al. [2017] 
 O₃     + hν , → , O₂     + O       , Photodissociation , Chaffin et al. [2017] 
 O₃     + hν , → , O₂     + O(¹D)   , Photodissociation , Chaffin et al. [2017] 
 O₂     + hν , → , O      + O       , Photodissociation , Chaffin et al. [2017] 
 O₂     + hν , → , O      + O(¹D)   , Photodissociation , Chaffin et al. [2017] 
 H₂     + hν , → , H      + H       , Photodissociation , Chaffin et al. [2017] 
 OH     + hν , → , O      + H       , Photodissociation , Chaffin et al. [2017] 
 OH     + hν , → , O(¹D)  + H       , Photodissociation , Chaffin et al. [2017] 
 HO₂    + hν , → , OH     + O       , Photodissociation , Chaffin et al. [2017] 
 H₂O₂   + hν , → , OH     + OH      , Photodissociation , Chaffin et al. [2017] 
 H₂O₂   + hν , → , HO₂    + H       , Photodissociation , Chaffin et al. [2017] 
 H₂O₂   + hν , → , H₂O    + O(¹D)   , Photodissociation , Chaffin et al. [2017] 
 O     + O   + M   , → , O₂   + M        , 5.4 × 10⁻³³ × (300/Tn)³·²⁵ , Chaffin et al. [2017] 
 O     + O₂  + N₂  , → , O₃   + N₂       , 5.0 × 10⁻³⁵ × exp(724/Tn) , Chaffin et al. [2017] 
 O     + O₂  + CO₂ , → , O₃   + CO₂      , 1.5 × 10⁻³³ × (300/Tn)²·⁴ , Chaffin et al. [2017] 
 O     + O₃        , → , O₂   + O₂       , 8.0 × 10⁻¹² × exp(-2060/Tn) , Chaffin et al. [2017] 
 O     + CO  + M   , → , CO₂  + M        , 2.2 × 10⁻³³ × exp(-1780/Tn) , Chaffin et al. [2017] 
 O(¹D) + O₂        , → , O    + O₂       , 3.2 × 10⁻¹¹ × exp(70/Tn) , Chaffin et al. [2017] 
 O(¹D) + O₃        , → , O₂   + O₂       , 1.2 × 10⁻¹⁰ , Chaffin et al. [2017] 
 O(¹D) + O₃        , → , O    + O  + O₂  , 1.2 × 10⁻¹⁰ , Chaffin et al. [2017] 
 O(¹D) + H₂        , → , H    + OH       , 1.2 × 10⁻¹⁰ , Chaffin et al. [2017] 
 O(¹D) + CO₂       , → , O    + CO₂      , 7.5 × 10⁻¹¹ × exp(115/Tn) , Chaffin et al. [2017] 
 O(¹D) + H₂O       , → , OH   + OH       , 1.63 × 10⁻¹⁰ × exp(60/Tn) , Chaffin et al. [2017] 
 H₂    + O         , → , OH   + H        , 6.34 × 10⁻¹² × exp(-4000/Tn) , Chaffin et al. [2017] 
 OH    + H₂        , → , H₂O  + H        , 9.01 × 10⁻¹³ × exp(-1526/Tn) , Chaffin et al. [2017] 
 H     + H   + CO₂ , → , H₂   + CO₂      , 1.6 × 10⁻³² × (298/Tn)²·²⁷ , Chaffin et al. [2017] 
 H     + OH  + CO₂ , → , H₂O  + CO₂      , 1.292 × 10⁻³⁰ × (300/Tn)²·, Chaffin et al. [2017] 
 H     + HO₂       , → , OH   + OH       , 7.2 × 10⁻¹¹ , Chaffin et al. [2017] 
 H     + HO₂       , → , H₂O  + O(¹D)    , 1.6 × 10⁻¹² , Chaffin et al. [2017] 
 H     + HO₂       , → , H₂   + O₂       , 3.45 × 10⁻¹² , Chaffin et al. [2017] 
 H     + H₂O₂      , → , HO₂  + H₂       , 2.8 × 10⁻¹² × exp(-1890/Tn) , Chaffin et al. [2017] 
 H     + H₂O₂      , → , H₂O  + OH       , 1.7 × 10⁻¹¹ × exp(-1800/Tn) , Chaffin et al. [2017] 
 H     + O₂  + M   , → , HO₂  + M        , k₀ = 8.8 × 10⁻³² × (300/Tn)¹·³ ,
 , , , k∞ = 7.5 × 10⁻¹¹ × (300/Tn)⁻⁰·² , Chaffin et al. [2017] 
 H     + O₃        , → , OH   + O₂       , 1.4 × 10⁻¹⁰ × exp(-470/Tn) , Chaffin et al. [2017] 
 O     + OH        , → , O₂   + H        , 1.8 × 10⁻¹¹ × exp(180/Tn) , Chaffin et al. [2017] 
 O     + HO₂       , → , OH   + O₂       , 3.0 × 10⁻¹¹ × exp(200/Tn) , Chaffin et al. [2017] 
 O     + H₂O₂      , → , OH   + HO₂      , 1.4 × 10⁻¹² × exp(-2000/Tn) , Chaffin et al. [2017] 
 OH    + OH        , → , H₂O  + O        , 1.8 × 10⁻¹² , Chaffin et al. [2017] 
 OH    + OH  + M   , → , H₂O₂ + M        , k₀ = 8.97 × 10⁻³¹ × (300/Tn)¹·,
