#
# Quantum yield for reactino NO2 + hv -> NO + O
# 300 nm - 422 nm 
#    JPL publication 15-10 table 4C-3
# 108 nm - 238 nm
#    PHIDRATES
# 239 nm - 300 nm
#    assumed to be 1
#
#nm  248K  298K
108  0.50  0.50
238  0.50  0.50
239  1.00  1.00
300  1.00  1.00
398  1.00  1.00
399  0.94  0.95
400  0.86  0.88
401  0.69  0.75
402  0.56  0.62
403  0.44  0.53
404  0.34  0.44
405  0.28  0.37
406  0.22  0.30
407  0.18  0.26
408  0.14  0.22
409  0.12  0.18
410  0.10  0.15
411  0.08  0.13
412  0.07  0.11
413  0.06  0.09
414  0.04  0.08
415  0.03  0.06
416  0.02  0.05
417  0.02  0.04
418  0.02  0.03
419  0.01  0.02
420  0.01  0.02
422  0.01  0.01
