# quantum yield for ozone dissociation to produce O
# these values are calculated by "1-quantum yield (O3->O(1D))"
# The data are taken from Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
# reference: Y. Matsumi, F.J. Comes, G. Hancock, A. Hofzumahaus, A.J. Hynes, M. Kawasaki, and A.R. Ravishankara, "Quantum yields for production of O(1D) in the ultraviolet photolysis of ozone: Recommendation based on evaluation of laboratory data", J. Geophys. Res. 107(D3), ACH1-1 - ACH1-12 (2002); DOI: 10.1029/2001JD000510
# Column 1: nm
# Column 2: quantum yield at 203 K
# Column 3: quantum yield at 223 K
# Column 4: quantum yield at 253 K 
# Column 5: quantum yield at 273 K 
# Column 6: quantum yield at 298 K
# Column 7: quantum yield at 321 K  
#================================================= 
 220 0.100 0.100 0.100 0.100 0.100 0.100
 250 0.100 0.100 0.100 0.100 0.100 0.100
 280 0.100 0.100 0.100 0.100 0.100 0.100
 290 0.100 0.100 0.100 0.100 0.100 0.100
 300 0.100 0.100 0.100 0.100 0.100 0.100
 306 0.128 0.128 0.125 0.122 0.116 0.107
 307 0.164 0.162 0.156 0.150 0.138 0.121
 308 0.256 0.252 0.240 0.228 0.207 0.179
 309 0.415 0.405 0.384 0.364 0.329 0.286
 310 0.604 0.589 0.557 0.527 0.477 0.418
 311 0.759 0.741 0.702 0.666 0.606 0.533
 312 0.848 0.831 0.792 0.754 0.690 0.610
 313 0.888 0.874 0.838 0.800 0.735 0.651
 314 0.905 0.892 0.857 0.820 0.754 0.668
 315 0.910 0.898 0.864 0.827 0.761 0.675
 316 0.912 0.900 0.867 0.832 0.767 0.683
 317 0.913 0.902 0.871 0.838 0.778 0.700
 318 0.914 0.904 0.877 0.848 0.794 0.725
 319 0.915 0.907 0.884 0.859 0.813 0.754
 320 0.917 0.910 0.891 0.871 0.834 0.786
 321 0.918 0.913 0.899 0.883 0.854 0.817
 322 0.920 0.916 0.905 0.893 0.872 0.845
 323 0.921 0.918 0.911 0.902 0.887 0.868
 324 0.922 0.920 0.915 0.909 0.899 0.886
 325 0.922 0.921 0.918 0.914 0.908 0.899
 326 0.923 0.922 0.920 0.918 0.914 0.909
 327 0.923 0.923 0.921 0.920 0.918 0.915
 328 0.923 0.923 0.922 0.922 0.920 0.919
 330 0.920 0.920 0.920 0.920 0.920 0.920
 335 0.920 0.920 0.920 0.920 0.920 0.920
 340 0.920 0.920 0.920 0.920 0.920 0.920
 341 1.000 1.000 1.000 1.000 1.000 1.000
1000 1.000 1.000 1.000 1.000 1.000 1.000
