#
# Absorption cross section of water vapor
#
#     6.2  nm -  59.04 nm @ 298 K : Chan et al. (1993)
#                           W.F. Chan, G. Cooper, and C.E. Brion, 
#                           "The electronic spectrum of water in the discrete and continuum regions. 
#                           Absolute optical oscillator strengths for photoabsorption (6-200 eV)", 
#                           Chem. Phys. 178, 387-401 (1993); DOI: 10.1016/0301-0104(93)85078-M
#                         * data is taken from Spectral Atlas: 
#                           Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#                           The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#                           Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
#    60.01 nm - 114.58 nm @ 298 K : Gurtler et al. (1977)
#                           P. Gürtler, V. Saile, and E.E. Koch, 
#                           "Rydberg series in the absorption spectra of H2O and D2O in the vacuum ultraviolet", 
#                           Chem. Phys. Lett. 51, 386-391 (1977); DOI: 10.1016/0009-2614(77)80427-2
#                         * data is taken from Spectral Atlas: 
#                           Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#                           The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#                           Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
#   114.80 nm - 120.35 nm @ 298 K : Mota et al. (2005)
#                           R. Mota, R. Parafita, A. Giuliani, M.-J. Hubin-Franskin, J.M.C. Lourenço, G. Garcia, 
#                           S.V. Hoffmann, M.J. Mason, P.A. Ribeiro, M. Raposo, and P. Limão-Vieira, 
#                           "Water VUV electronic state spectroscopy by synchrotron radiation", 
#                           Chem. Phys. Lett. 416, 152-159 (2005); DOI: 10.1016/j.cplett.2005.09.073
#                         * data is taken from Spectral Atlas: 
#                           Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#                           The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#                           Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
#
#   120.38 nm - 139.99 nm @ 295 K : Yoshino et al. (1996, 1997)
#                           K. Yoshino, J.R. Esmond, W.H. Parkinson, K. Ito, and T. Matsui, 
#                           "Absorption cross section measurements of water vapor in the wavelength region 120 to 188 nm", 
#                           Chem. Phys. 211, 387-391 (1996); DOI: 10.1016/0301-0104(96)00210-8;
#                           Chem. Phys. 215, 429-430 (1997) (Erratum) DOI: 10.1016/S0301-0104(96)00381-3
#                         * data is taken from Spectral Atlas: 
#                           Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#                           The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#                           Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
#   140.00 nm - 196.00 nm @ 295 K : Chung et al. (2001)
#                           C.-Y. Chung, E. P. Chew, B.-M. Cheng, M. Bahou, and Y.-P. Lee, 
#                           "Temperature dependence of absorption cross-section of H2O, HDO, and D2O in the spectral region 140-193 nm", 
#                           Nucl. Instr. Meth. Phys. Res. A 467-468, 1572-1576 (2001); DOI: 10.1016/S0168-9002(01)00762-8
#                         * data is taken from Spectral Atlas: 
#                           Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#                           The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#                           Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
#   196.031nm - 230.413nm @ 292 K : Ranjan et al. (2020)
#                           S. Ranjan, E.W. Schwieterman, C. Harman, A. Fateev, C. Sousa-Silva, S. Seager, and R. Hu, 
#                           "Photochemistry of anoxic abiotic habitable planet atmospheres: Impact of new H2O cross-sections", 
#                           Astrophys. J. 896, 148 (21 pp.) (2020); DOI: 10.3847/1538-4357/ab9363
#                         * data is taken from Spectral Atlas: 
#                           Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#                           The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#                           Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# nm      cm^2
6.20    3.65e-19
6.26    3.82e-19
6.33    4.17e-19
6.39    4.01e-19
6.46    4.51e-19
6.53    4.26e-19
6.59    4.42e-19
6.67    4.62e-19
6.74    4.62e-19
6.81    4.62e-19
6.89    4.55e-19
6.97    4.74e-19
7.04    4.96e-19
7.13    4.85e-19
7.21    5.17e-19
7.29    5.40e-19
7.38    5.61e-19
7.47    5.66e-19
7.56    5.64e-19
7.65    5.88e-19
7.75    5.77e-19
7.85    6.24e-19
7.95    6.44e-19
8.05    6.66e-19
8.16    7.03e-19
8.27    6.94e-19
8.38    7.11e-19
8.49    7.48e-19
8.61    7.81e-19
8.73    7.83e-19
8.86    8.26e-19
8.98    8.57e-19
9.12    8.74e-19
9.25    9.10e-19
9.39    9.23e-19
9.54    9.73e-19
9.69    1.00e-18
9.84    1.06e-18
10.00   1.07e-18
10.16   1.11e-18
10.33   1.15e-18
10.51   1.21e-18
10.69   1.24e-18
10.88   1.31e-18
11.07   1.36e-18
11.27   1.42e-18
11.48   1.45e-18
11.70   1.53e-18
11.92   1.59e-18
12.16   1.68e-18
12.40   1.76e-18
12.65   1.84e-18
12.78   1.92e-18
12.92   1.93e-18
13.05   2.00e-18
13.19   2.02e-18
13.33   2.06e-18
13.48   2.11e-18
13.62   2.21e-18
13.78   2.24e-18
13.93   2.29e-18
14.09   2.32e-18
14.25   2.44e-18
14.42   2.46e-18
14.59   2.46e-18
14.76   2.58e-18
14.94   2.68e-18
15.12   2.71e-18
15.31   2.80e-18
15.50   2.85e-18
15.69   2.93e-18
15.90   2.99e-18
16.10   3.09e-18
16.31   3.17e-18
16.53   3.30e-18
16.75   3.37e-18
16.98   3.42e-18
17.22   3.56e-18
17.46   3.63e-18
17.71   3.73e-18
17.97   3.85e-18
18.23   3.99e-18
18.51   4.07e-18
18.79   4.20e-18
19.07   4.31e-18
19.37   4.50e-18
19.68   4.66e-18
20.00   4.79e-18
20.33   4.97e-18
20.66   5.13e-18
21.01   5.29e-18
21.38   5.60e-18
21.75   5.61e-18
22.14   5.82e-18
22.54   5.99e-18
22.96   6.23e-18
23.39   6.40e-18
23.84   6.63e-18
24.31   6.91e-18
24.80   7.14e-18
25.05   7.21e-18
25.30   7.31e-18
25.56   7.51e-18
25.83   7.67e-18
26.10   7.69e-18
26.38   7.92e-18
26.66   7.90e-18
26.95   8.14e-18
27.25   8.09e-18
27.55   8.42e-18
27.86   8.58e-18
28.18   8.74e-18
28.50   8.97e-18
28.83   9.07e-18
29.17   9.37e-18
29.52   9.49e-18
29.88   9.23e-18
30.24   9.71e-18
30.61   9.90e-18
31.00   1.01e-17
31.39   1.03e-17
31.79   1.03e-17
32.20   1.07e-17
32.63   1.09e-17
33.06   1.11e-17
33.51   1.13e-17
33.97   1.14e-17
34.44   1.20e-17
34.93   1.20e-17
35.42   1.25e-17
35.94   1.25e-17
36.47   1.29e-17
37.01   1.30e-17
37.57   1.33e-17
38.15   1.38e-17
38.75   1.39e-17
39.36   1.42e-17
39.99   1.44e-17
40.65   1.47e-17
41.33   1.56e-17
42.03   1.59e-17
42.75   1.63e-17
43.50   1.67e-17
44.28   1.72e-17
45.09   1.75e-17
45.92   1.74e-17
46.79   1.78e-17
47.69   1.80e-17
48.62   1.87e-17
49.59   1.87e-17
50.61   1.92e-17
51.66   2.01e-17
52.76   2.02e-17
53.91   2.05e-17
55.10   2.09e-17
56.36   2.14e-17
57.67   2.18e-17
59.04   2.20e-17
60.01   1.99e-17
60.37   1.98e-17
60.69   1.97e-17
60.98   1.97e-17
61.27   1.97e-17
61.57   1.98e-17
61.78   1.98e-17
62.06   1.98e-17
62.36   1.98e-17
62.69   1.98e-17
62.97   1.98e-17
63.25   1.98e-17
63.55   1.98e-17
63.85   1.98e-17
64.13   1.98e-17
64.42   1.97e-17
64.72   1.97e-17
64.99   1.99e-17
65.24   1.99e-17
65.50   1.96e-17
65.77   1.98e-17
66.06   2.00e-17
66.32   1.98e-17
66.58   1.97e-17
66.81   2.00e-17
67.04   2.02e-17
67.24   1.99e-17
67.38   1.94e-17
67.58   1.95e-17
67.76   1.99e-17
68.03   1.98e-17
68.24   2.01e-17
68.42   1.97e-17
68.50   1.93e-17
68.65   1.90e-17
