# 0          References for Cross Section of NO2       Total   
# Cross section:                                                                  
# Lambda = 0.6-940. A                                                             
#    Assumed same cross section as HONO                                           
# Lambda = 1080.-1800. A                                                          
#    Nakayama, T., Kitamura, M. Y., Watanabe, K. (1959)                           
#    J. Chem. Phys. 30, 1180                                                      
# Lambda = 1850.-3978.00 A                                                        
#    Bass, A. M., Ledford, A. E., Laufer, A. H. (1976)                            
#    J. Res. NBS A Phys. Chem. 80A, 143                                           
# Dissociation limit and energy:                                                  
# Lambda = 3978. A                                                                
#    Jones, I. T. N., Bayes, K. D. (1973)                                         
#    J. Chem. Phys. 59, 4863                                                      
#                                                                                 
# 0          References for Cross Section of NO2       NO2+    
# Branching ratio:                                                                
# Lambda = 1080.-1270. A                                                          
#    Nakayama, T., Kitamura, M. Y., Watanabe, K. (1959)                           
#    J. Chem. Phys. 30, 1180                                                      
#                                                                                 
# 0          References for Cross Section of NO2       NO/O1D  
#                                                                                 
# 0 Branching ratio for NO2      Total        3 branches
#  Lambda   NO/O1D   
 108.00   2.52E-18 
 110.00   3.51E-18 
 112.00   3.93E-18 
 114.00   4.48E-18 
 116.00   3.35E-18 
 118.00   3.64E-18 
 120.00   3.32E-18 
 122.00   5.11E-18 
 124.00   8.81E-18 
 126.00   1.49E-17 
 128.00   1.45E-17 
 130.00   6.70E-18 
 132.00   3.16E-18 
 134.00   5.75E-18 
 136.00   4.28E-18 
 138.00   5.15E-18 
 140.00   5.60E-18 
 142.00   6.50E-18 
 144.00   9.50E-18 
 146.00   6.15E-18 
 148.00   5.20E-18 
 150.00   5.40E-18 
 152.00   1.00E-17 
 154.00   7.70E-18 
 156.00   7.50E-18 
 158.00   7.05E-18 
 160.00   7.40E-18 
 165.00   7.85E-18 
 170.00   8.20E-18 
 175.00   5.20E-18 
 180.00   3.16E-18 
 185.00   1.30E-19 
 185.13   1.29E-19 
 185.25   1.35E-19 
 185.38   1.23E-19 
 185.50   1.23E-19 
 185.63   1.36E-19 
 185.75   1.19E-19 
 185.88   1.32E-19 
 186.00   1.35E-19 
 186.13   1.38E-19 
 186.25   1.39E-19 
 186.38   1.17E-19 
 186.50   1.20E-19 
 186.63   1.35E-19 
 186.75   1.37E-19 
 186.88   1.24E-19 
 187.00   1.30E-19 
 187.13   1.31E-19 
 187.25   1.38E-19 
 187.38   1.30E-19 
 187.50   1.42E-19 
 187.63   1.35E-19 
 187.75   1.27E-19 
 187.88   1.40E-19 
 188.00   1.43E-19 
 188.13   1.43E-19 
 188.25   1.37E-19 
 188.38   1.37E-19 
 188.50   1.32E-19 
 188.63   1.40E-19 
 188.75   1.40E-19 
 188.88   1.38E-19 
 189.00   1.50E-19 
 189.13   1.45E-19 
 189.25   1.50E-19 
 189.38   1.47E-19 
 189.50   1.45E-19 
 189.63   1.43E-19 
 189.75   1.47E-19 
 189.88   1.45E-19 
 190.00   1.47E-19 
 190.13   1.38E-19 
 190.25   1.37E-19 
 190.38   1.30E-19 
 190.50   1.27E-19 
 190.63   1.37E-19 
 190.75   1.37E-19 
 190.88   1.40E-19 
 191.00   1.42E-19 
 191.13   1.29E-19 
 191.25   1.42E-19 
 191.38   1.42E-19 
 191.50   1.42E-19 
 191.63   1.38E-19 
 191.75   1.45E-19 
 191.88   1.30E-19 
 192.00   1.35E-19 
 192.13   1.32E-19 
 192.25   1.24E-19 
 192.38   1.35E-19 
 192.50   1.32E-19 
 192.63   1.35E-19 
 192.75   1.28E-19 
 192.88   1.26E-19 
 193.00   1.25E-19 
 193.13   1.23E-19 
 193.25   1.18E-19 
 193.38   1.32E-19 
 193.50   1.23E-19 
 193.63   1.22E-19 
 193.75   1.24E-19 
 193.88   1.07E-19 
 194.00   1.24E-19 
 194.13   1.27E-19 
 194.25   1.27E-19 
 194.38   1.24E-19 
 194.50   1.34E-19 
 194.63   1.37E-19 
 194.75   1.34E-19 
 194.88   1.32E-19 
 195.00   1.21E-19 
 195.13   1.19E-19 
 195.25   1.22E-19 
