# 0          References for Cross Section of C2H4      Total   
# Lambda = 1.00-100. A                                                            
#    Synthesized from cross sections of atomic constituents 4*H + 2*C             
#    Barfield, W. D., Koontz, G. D., Huebner W. F. (1972)                         
#    J. Quant. Spectr. Rad. Trans. 12, 1409                                       
# Lambda = 180.-700. A                                                            
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
# Lambda = 500.-1200. A                                                           
#    Schoen, R. I. (1962)                                                         
#    J. Chem. Phys. 37, 2032                                                      
# Lambda = 1065.-1960. A                                                          
#    Zelikoff, M., Watanabe, K. (1953)                                            
#    J. Opt. Soc. Am. 43, 756                                                     
#                                                                                 
# 0          References for Cross Section of C2H4      C2H4+   
# Lambda = 500.-1200. A                                                           
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
#                                                                                 
# 0          References for Cross Section of C2H4      C2H2+H2 
# Lambda = 500.-1200. A                                                           
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
#                                                                                 
# 0          References for Cross Section of C2H4      C2H3+H  
# Lambda = 500.-1200. A                                                           
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
#                                                                                 
# 0          References for Cross Section of C2H4      C2H2/2H 
# Branching ratios for dissociation:                                              
# Lambda = 1236.-1973. A                                                          
#    McNesby, J. R., Okabe, H. (1964)                                             
#    Adv. Photochem. 3, 157                                                       
# Lambda = 1550.-1900. A                                                          
#    Back, R. A., Griffiths, D. W. L. (1967)                                      
#    J. Chem. Phys. 46, 4839                                                      
# Threshold:                                                                      
#    For dissociation from heats of formation                                     
# Lambda = 1960. A                                                                
#                                                                                 
# 0 Branching ratio for C2H4     Total        5 branches
#  Lambda C2H2+H2  
    1.0 1.36E-23 
   10.0 1.56E-20 
   41.0 4.32E-20 
   43.0 2.89E-20 
   50.0 4.63E-20 
  100.0 2.19E-19 
  180.0 1.38E-18 
  200.0 1.52E-18 
  250.0 2.21E-18 
  300.0 3.43E-18 
  350.0 4.84E-18 
  400.0 6.55E-18 
  450.0 8.26E-18 
  500.0 9.47E-18 
  550.0 9.89E-18 
  564.0 1.02E-17 
  620.0 1.06E-17 
  689.0 1.09E-17 
  706.0 1.09E-17 
  775.0 9.72E-18 
  838.0 9.82E-18 
  882.0 8.55E-18 
  886.0 8.46E-18 
  898.0 3.58E-18 
  918.0 8.20E-19 
  945.0 0.00E+00 
  964.0 0.00E+00 
 1016.0 0.00E+00 
 1033.0 0.00E+00 
 1065.0 0.00E+00 
 1066.0 0.00E+00 
 1085.0 0.00E+00 
 1096.0 0.00E+00 
 1105.0 0.00E+00 
 1115.0 0.00E+00 
 1123.0 0.00E+00 
 1127.0 0.00E+00 
 1149.0 0.00E+00 
 1150.0 0.00E+00 
 1178.0 0.00E+00 
 1180.0 0.00E+00 
 1186.0 0.00E+00 
 1191.0 0.00E+00 
 1201.0 0.00E+00 
 1203.0 0.00E+00 
 1208.0 0.00E+00 
 1213.0 0.00E+00 
 1222.0 0.00E+00 
 1224.0 0.00E+00 
 1226.0 0.00E+00 
 1228.0 0.00E+00 
 1231.0 0.00E+00 
 1241.0 0.00E+00 
 1244.0 0.00E+00 
 1248.0 0.00E+00 
 1251.0 0.00E+00 
 1254.0 0.00E+00 
 1256.0 0.00E+00 
 1263.0 0.00E+00 
 1264.0 0.00E+00 
 1271.0 0.00E+00 
 1273.0 0.00E+00 
 1276.0 0.00E+00 
 1280.0 0.00E+00 
 1284.0 0.00E+00 
 1294.0 0.00E+00 
 1298.0 0.00E+00 
 1302.0 0.00E+00 
 1312.0 0.00E+00 
 1317.0 0.00E+00 
 1323.0 0.00E+00 
 1330.0 0.00E+00 
 1335.0 0.00E+00 
 1338.0 0.00E+00 
 1342.0 0.00E+00 
 1352.0 0.00E+00 
 1356.0 0.00E+00 
 1360.0 0.00E+00 
 1364.0 0.00E+00 
 1366.0 0.00E+00 
 1370.0 0.00E+00 
 1376.0 0.00E+00 
 1383.0 0.00E+00 
 1388.0 0.00E+00 
 1390.0 0.00E+00 
 1395.0 0.00E+00 
 1401.0 0.00E+00 
 1402.0 0.00E+00 
 1408.0 0.00E+00 
 1414.0 0.00E+00 
 1421.0 0.00E+00 
 1428.0 0.00E+00 
 1433.0 0.00E+00 
 1442.0 0.00E+00 
 1445.0 0.00E+00 
 1452.0 0.00E+00 
 1460.0 0.00E+00 
 1473.0 0.00E+00 
 1476.0 0.00E+00 
 1487.0 0.00E+00 
 1495.0 0.00E+00 
 1500.0 0.00E+00 
 1509.0 0.00E+00 
 1521.0 0.00E+00 
 1526.0 0.00E+00 
 1533.0 0.00E+00 
 1536.0 0.00E+00 
 1554.0 0.00E+00 
 1559.0 0.00E+00 
 1567.0 0.00E+00 
 1575.0 0.00E+00 
 1586.0 0.00E+00 
 1592.0 0.00E+00 
 1600.0 0.00E+00 
 1609.0 0.00E+00 
 1618.0 0.00E+00 
 1626.0 0.00E+00 
 1634.0 0.00E+00 
 1644.0 0.00E+00 
 1653.0 0.00E+00 
 1660.0 0.00E+00 
 1666.0 0.00E+00 
 1676.0 0.00E+00 
 1683.0 0.00E+00 
 1691.0 0.00E+00 
 1698.0 0.00E+00 
 1704.0 0.00E+00 
 1711.0 0.00E+00 
 1722.0 0.00E+00 
 1732.0 0.00E+00 
 1738.0 0.00E+00 
 1744.0 0.00E+00 
 1752.0 0.00E+00 
 1770.0 0.00E+00 
 1779.0 0.00E+00 
 1793.0 0.00E+00 
 1802.0 0.00E+00 
 1818.0 0.00E+00 
 1827.0 0.00E+00 
 1847.0 0.00E+00 
 1855.0 0.00E+00 
 1873.0 0.00E+00 
 1881.0 0.00E+00 
 1896.0 0.00E+00 
 1907.0 0.00E+00 
 1929.0 0.00E+00 
 1939.0 0.00E+00 
 1958.0 0.00E+00 
 1973.0 0.00E+00 
 1960.0 0.00E+00 
 7200.0 0.00E+00 
