# 0          References for Cross Section of CO2       Total   
# Cross section:                                                                  
# Lambda = 2.-270. A                                                              
#    Henry, R. J. W., McElroy, M. B. (1968)                                       
#    Photoelectrons in Planetary Atmospheres, in The Atmospheres of Venus and Mars
#    Brandt, J. C., McElroy, M. B. (eds.), Gordon Breach Science Publishers, Inc.,
#    New York, London, Paris                                                      
# Lambda = 303.78-555.26 A                                                        
#    Cairns, R. B., Samson, J. A. R. (1965)                                       
#    J. Geophys. Res. 70, 99                                                      
# Lambda = 580.-1670. A                                                           
#    Nakata, R. S., Watanabe, K., Matsunaga, F. M. (1965)                         
#    Science of Light 14, 54                                                      
#                                                                                 
# 0          References for Cross Section of CO2       sCO/O1D 
# sCO is equivalent to (singlet) CO (ground state)                                
# Lambda = 582.7a-902.9 A                                                         
#    Nakata, R. S., Watanabe, K., Matsunaga, F. M. (1965)                         
#    Science of Light 14, 54                                                      
#    (branching ratio for ionization and dissociation)                            
# Lambda = 851.0a-1090.0 A                                                        
#    Lawrence, G. M. (1972)                                                       
#    J. Chem. Phys. 56, 3435                                                      
#    (branching ratio for dissociation into singlet ground state and triplet      
#    pi metastable state)                                                         
#                                                                                 
# 0          References for Cross Section of CO2       CO2+    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
# Lambda = 580.-1670. A                                                           
#    Nakata, R. S., Watanabe, K., Matsunaga, F. M. (1965)                         
#    Science of Light 14, 54                                                      
#                                                                                 
# 0          References for Cross Section of CO2       CO+O    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of CO2       O+CO    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of CO2       C+O2    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of CO2       sCO/O   
# sCO is equivalent to (singlet) CO (ground state)                                
# tCO is equivalent to (triplet) CO (a^3Pi state)                                 
#                                                                                 
# 0 Branching ratio for CO2      Total        7 branches
#  Lambda  Total 
    1.0 1.00E-21 
    4.0 1.20E-20 
    7.5 7.50E-20 
   12.5 2.70E-19 
   19.0 7.00E-19 
   26.9 9.00E-20 
   36.0 2.00E-19 
   51.5 4.40E-19 
   72.5 8.00E-19 
   93.0 1.40E-18 
  120.5 2.20E-18 
  151.5 4.20E-18 
  172.5 1.10E-17 
  185.0 1.90E-17 
  197.5 1.90E-17 
  212.5 1.90E-17 
  230.0 2.50E-17 
  250.0 2.60E-17 
  257.0 2.60E-17 
  270.0 2.60E-17 
  303.8 2.34E-17 
  435.0 2.76E-17 
  507.4 3.00E-17 
  507.7 3.00E-17 
  508.2 2.89E-17 
  522.2 2.98E-17 
  525.8 3.12E-17 
  537.0 3.14E-17 
  553.3 3.38E-17 
  554.1 3.04E-17 
  554.5 3.32E-17 
  555.3 3.39E-17 
  582.7 2.15E-17 
  585.2 2.26E-17 
  590.0 2.30E-17 
  605.0 2.41E-17 
  610.0 2.38E-17 
  615.0 2.49E-17 
  620.0 2.23E-17 
  625.0 2.20E-17 
  630.0 2.20E-17 
  636.9 2.17E-17 
  640.0 2.16E-17 
  650.0 2.12E-17 
  659.5 2.04E-17 
  665.0 2.20E-17 
  670.0 2.08E-17 
  675.0 2.15E-17 
  677.0 2.12E-17 
  680.0 2.01E-17 
  682.0 2.16E-17 
  683.0 2.42E-17 
  685.0 2.34E-17 
  686.0 2.19E-17 
  687.0 2.49E-17 
  688.7 2.60E-17 
  689.3 2.49E-17 
  689.6 2.64E-17 
  690.0 1.86E-17 
  690.4 2.90E-17 
  690.9 2.01E-17 
  691.5 2.90E-17 
  692.1 1.71E-17 
  692.4 2.93E-17 
  692.9 2.79E-17 
  693.2 2.05E-17 
  693.6 1.60E-17 
  694.1 4.13E-17 
  694.4 2.75E-17 
  694.8 3.35E-17 
  695.7 1.78E-17 
  696.2 2.01E-17 
  696.6 4.47E-17 
  697.0 2.27E-17 
  697.3 2.19E-17 
  697.8 2.42E-17 
  698.5 1.82E-17 
  699.0 1.60E-17 
  699.5 1.79E-17 
  700.0 1.97E-17 
  700.5 6.91E-17 
  701.4 2.01E-17 
  701.9 2.19E-17 
  702.3 3.98E-17 
  703.0 2.19E-17 
  703.6 2.09E-17 
  704.1 1.86E-17 
  704.6 2.19E-17 
  705.0 2.08E-17 
  705.8 1.79E-17 
  706.3 1.97E-17 
  707.0 8.44E-17 
  707.6 3.72E-17 
