# 0          References for Cross Section of CO2       Total   
# Cross section:                                                                  
# Lambda = 2.-270. A                                                              
#    Henry, R. J. W., McElroy, M. B. (1968)                                       
#    Photoelectrons in Planetary Atmospheres, in The Atmospheres of Venus and Mars
#    Brandt, J. C., McElroy, M. B. (eds.), Gordon Breach Science Publishers, Inc.,
#    New York, London, Paris                                                      
# Lambda = 303.78-555.26 A                                                        
#    Cairns, R. B., Samson, J. A. R. (1965)                                       
#    J. Geophys. Res. 70, 99                                                      
# Lambda = 580.-1670. A                                                           
#    Nakata, R. S., Watanabe, K., Matsunaga, F. M. (1965)                         
#    Science of Light 14, 54                                                      
#                                                                                 
# 0          References for Cross Section of CO2       sCO/O1D 
# sCO is equivalent to (singlet) CO (ground state)                                
# Lambda = 582.7a-902.9 A                                                         
#    Nakata, R. S., Watanabe, K., Matsunaga, F. M. (1965)                         
#    Science of Light 14, 54                                                      
#    (branching ratio for ionization and dissociation)                            
# Lambda = 851.0a-1090.0 A                                                        
#    Lawrence, G. M. (1972)                                                       
#    J. Chem. Phys. 56, 3435                                                      
#    (branching ratio for dissociation into singlet ground state and triplet      
#    pi metastable state)                                                         
#                                                                                 
# 0          References for Cross Section of CO2       CO2+    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
# Lambda = 580.-1670. A                                                           
#    Nakata, R. S., Watanabe, K., Matsunaga, F. M. (1965)                         
#    Science of Light 14, 54                                                      
#                                                                                 
# 0          References for Cross Section of CO2       CO+O    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of CO2       O+CO    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of CO2       C+O2    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of CO2       sCO/O   
# sCO is equivalent to (singlet) CO (ground state)                                
# tCO is equivalent to (triplet) CO (a^3Pi state)                                 
#                                                                                 
# 0 Branching ratio for CO2      Total        7 branches
#  Lambda  C+O2     
    1.0  2.49E-22 
    4.0  2.97E-21 
    7.5  1.84E-20 
   12.5  6.52E-20 
   19.0  1.66E-19 
   26.9  2.09E-20 
   36.0  4.51E-20 
   51.5  9.47E-20 
   72.5  1.61E-19 
   93.0  2.62E-19 
  120.5  3.71E-19 
  151.5  6.21E-19 
  172.5  1.47E-18 
  185.0  2.38E-18 
  197.5  2.22E-18 
  212.5  2.03E-18 
  230.0  2.37E-18 
  250.0  2.11E-18 
  257.0  1.99E-18 
  270.0  1.76E-18 
  303.8  1.05E-18 
  435.0  2.76E-20 
  507.4  5.09E-21 
  507.7  5.06E-21 
  508.2  4.81E-21 
  522.2  3.17E-21 
  525.8  2.83E-21 
  537.0  1.34E-21 
  553.3  0.00E+00 
  554.1  0.00E+00 
  554.5  0.00E+00 
  555.3  0.00E+00 
  582.7  0.00E+00 
  585.2  0.00E+00 
  590.0  0.00E+00 
  605.0  0.00E+00 
  610.0  0.00E+00 
  615.0  0.00E+00 
  620.0  0.00E+00 
  625.0  0.00E+00 
  630.0  0.00E+00 
  636.9  0.00E+00 
  640.0  0.00E+00 
  650.0  0.00E+00 
  659.5  0.00E+00 
  665.0  0.00E+00 
  670.0  0.00E+00 
  675.0  0.00E+00 
  677.0  0.00E+00 
  680.0  0.00E+00 
  682.0  0.00E+00 
  683.0  0.00E+00 
  685.0  0.00E+00 
  686.0  0.00E+00 
  687.0  0.00E+00 
  688.7  0.00E+00 
  689.3  0.00E+00 
  689.6  0.00E+00 
  690.0  0.00E+00 
  690.4  0.00E+00 
  690.9  0.00E+00 
  691.5  0.00E+00 
  692.1  0.00E+00 
  692.4  0.00E+00 
  692.9  0.00E+00 
  693.2  0.00E+00 
  693.6  0.00E+00 
  694.1  0.00E+00 
  694.4  0.00E+00 
  694.8  0.00E+00 
  695.7  0.00E+00 
  696.2  0.00E+00 
  696.6  0.00E+00 
  697.0  0.00E+00 
  697.3  0.00E+00 
  697.8  0.00E+00 
  698.5  0.00E+00 
  699.0  0.00E+00 
  699.5  0.00E+00 
  700.0  0.00E+00 
  700.5  0.00E+00 
  701.4  0.00E+00 
  701.9  0.00E+00 
  702.3  0.00E+00 
  703.0  0.00E+00 
  703.6  0.00E+00 
  704.1  0.00E+00 
  704.6  0.00E+00 
  705.0  0.00E+00 
  705.8  0.00E+00 
  706.3  0.00E+00 
  707.0  0.00E+00 
  707.6  0.00E+00 
  708.0  0.00E+00 
