; Solar Flux predicition from Claire et al, 2012
; Computed for 3.80000 Ga and 1.00000 AU
; wavelength (nm)   flux (photons/cm^2/s/nm)
     0.500000  64262664.
     1.50000   1.2851746e+08
     2.50000   8.2168420e+08
     3.50000   7.4363714e+08
     4.50000   1.3110240e+09
     5.50000   2.7294389e+09
     6.50000   2.8433918e+09
     7.50000   3.4130575e+09
     8.50000   2.3360291e+09
     9.50000   2.9037707e+09
     10.5000   1.1046935e+09
     11.5000   8.5929119e+08
     12.5000   5.7994721e+08
     13.5000   5.9899346e+08
     14.5000   2.0256324e+09
     15.5000   2.5882491e+09
     16.5000   3.7130137e+09
     17.5000   1.7299824e+10
     18.5000   9.0483119e+09
     19.5000   9.7347965e+09
     20.5000   4.9169517e+09
     21.5000   3.9495725e+09
     22.5000   5.7524573e+09
     23.5000   2.9876656e+09
     24.5000   7.7568203e+09
     25.5000   1.3219726e+10
     26.5000   4.5435659e+09
     27.5000   8.2156140e+09
     28.5000   3.7475192e+10
     29.5000   3.0296718e+09
     30.5000   1.0869884e+11
     31.5000   1.3094212e+10
     32.5000   1.8593714e+10
     33.5000   1.8653425e+10
     34.5000   8.1399196e+09
     35.5000   7.1413951e+09
     36.5000   4.3613962e+10
     37.5000   1.6559455e+09
     38.5000   7.2246213e+08
     39.5000   7.3016335e+08
     40.5000   1.2443322e+09
     41.5000   2.4793815e+09
     42.5000   6.2240673e+08
     43.5000   1.4717783e+09
     44.5000   5.8547894e+08
     45.5000   6.6384414e+08
     46.5000   2.4306091e+09
     47.5000   9.7710675e+08
     48.5000   1.6464967e+09
     49.5000   5.9293052e+09
     50.5000   2.4425567e+09
     51.5000   8.4598361e+08
     52.5000   1.5059504e+09
     53.5000   1.1208759e+09
     54.5000   7.2939393e+08
     55.5000   3.2961807e+09
     56.5000   1.0139110e+09
     57.5000   1.0188065e+09
     58.5000   5.8184733e+09
     59.5000   1.2239193e+09
     60.5000   5.0730211e+09
     61.5000   1.5540338e+09
     62.5000   6.7965917e+09
     63.5000   1.7323102e+09
     64.5000   3.9787740e+08
     65.5000   3.1621674e+08
     66.5000   2.8204005e+08
     67.5000   2.9104753e+08
     68.5000   1.0097382e+09
     69.5000   7.5310634e+08
     70.5000   1.9780490e+09
     71.5000   8.7100911e+08
     72.5000   6.6076251e+08
     73.5000   8.6493060e+08
     74.5000   1.0706374e+09
     75.5000   1.6371725e+09
     76.5000   4.1435924e+09
     77.5000   3.8335323e+09
     78.5000   5.3620492e+09
     79.5000   2.5151183e+09
     80.5000   2.6138123e+09
     81.5000   2.9798596e+09
     82.5000   4.4179419e+09
     83.5000   7.5154015e+09
     84.5000   5.5190035e+09
     85.5000   6.1626180e+09
     86.5000   6.5501177e+09
     87.5000   7.8154990e+09
     88.5000   8.9533266e+09
     89.5000   1.0914008e+10
     90.5000   1.2880011e+10
     91.5000   9.8642514e+09
     92.5000   3.5283690e+09
     93.5000   3.0933872e+09
     94.5000   2.2093366e+09
     95.5000   1.2733304e+09
     96.5000   1.3259021e+09
     97.5000   2.9898436e+10
     98.5000   2.7070051e+09
     99.5000   4.1810944e+09
     100.500   1.6953682e+09
     101.500   1.9609968e+09
     102.500   4.7688086e+10
     103.500   3.3504199e+10
     104.500   2.7117757e+09
     105.500   2.2971572e+09
     106.500   2.1877554e+09
     107.500   2.3224496e+09
     108.500   3.8964712e+09
     109.500   2.6222281e+09
     110.500   2.7963123e+09
     111.500   2.5373326e+09
     112.500   2.8015318e+09
     113.500   2.1583067e+09
     114.500   1.4599541e+09
     115.500   2.3978141e+09
     116.500   2.7098404e+09
     117.500   2.3779050e+10
     118.500   3.0469023e+09
     119.500   1.0208007e+10
     119.750   9.8578363e+09
     119.800   1.0299917e+10
     119.850   1.0839473e+10
     119.900   1.1341074e+10
     119.950   1.1651251e+10
     120.000   1.1649054e+10
     120.050   1.1334515e+10
     120.100   1.0787102e+10
     120.150   1.0180150e+10
     120.200   9.6923834e+09
     120.250   9.5692970e+09
     120.300   1.0727855e+10
     120.350   1.4938690e+10
     120.400   2.3753783e+10
     120.450   3.7380206e+10
     120.500   9.8122825e+10
     120.550   1.2709871e+11
     120.600   1.4617665e+11
     120.650   1.4895628e+11
     120.700   1.3433579e+11
     120.750   5.9351584e+10
     120.800   5.2964609e+10
     120.850   3.6349422e+10
     120.900   2.5430778e+10
     120.950   2.0837947e+10
     121.000   2.1127884e+10
     121.050   2.4354308e+10
     121.100   3.0749205e+10
     121.150   4.8992821e+10
     121.200   1.2256588e+11
     121.250   3.6824889e+11
