# REACTION:	nitrate radical → NO+O2
# NO3 → NO+O2
# AUTHOR(YEAR):	Johnston(1996)
# T:	190K, 230K, 298K
# λ:	586-640nm
# BIBLIOGRAPHY:	H.S Johnston, H.F. Davis, and Y.T. Lee, 
# "NO3 photolysis product channels: Quantum yields from observed energy thresholds", 
# J. Phys. Chem. 100, 4713-4723 (1996); DOI: 10.1021/jp952692x
#
# recommended by JPL publication 15-10
# 
# nm    190 K     230 K      298 K
585    0.0       0.0        0.0
586    0.0379    0.0264     0.0152                            
587    0.0944    0.0667     0.0391                            
588    0.221     0.161      0.0971                          
589    0.283     0.209      0.128                          
590    0.397     0.300      0.190                          
591    0.448     0.343      0.220                          
592    0.495     0.383      0.249                          
593    0.575     0.455      0.303                          
594    0.610     0.487      0.328                          
595    0.630     0.517      0.359                          
596    0.598     0.501      0.357                          
597    0.493     0.430      0.318                          
598    0.468     0.421      0.323                          
599    0.429     0.396      0.314                          
600    0.355     0.346      0.291                          
601    0.335     0.338      0.296                          
602    0.310     0.322      0.291                          
603    0.267     0.294      0.283                          
604    0.249     0.282      0.280                          
605    0.213     0.253      0.264                          
606    0.205     0.251      0.271                          
607    0.194     0.243      0.268                          
608    0.167     0.217      0.250                          
609    0.155     0.208      0.248                          
610    0.140     0.193      0.236                          
611    0.111     0.159      0.205                          
612    0.101     0.150      0.200                          
613    0.0906    0.138      0.190                           
614    0.0712    0.114      0.166                           
615    0.0661    0.110      0.166                           
616    0.0597    0.102      0.160                           
617    0.0475    0.0855     0.141                            
618    0.0448    0.0835     0.143                            
619    0.0409    0.0784     0.139                            
620    0.0360    0.0715     0.131                            
621    0.0320    0.0660     0.127                            
622    0.0292    0.0619     0.122                            
623    0.0265    0.0576     0.117                            
624    0.0219    0.0496     0.106                            
625    0.0190    0.0445     0.0985                            
626    0.0168    0.0406     0.0923                            
627    0.0145    0.0360     0.0848                            
628    0.0115    0.0299     0.0739                            
629    0.0102    0.0274     0.0699                            
630    0.00901   0.0247     0.0649                             
631    0.00752   0.0213     0.0578                             
632    0.00602   0.0178     0.0508                             
633    0.00523   0.0159     0.0466                             
634    0.00454   0.0142     0.0426                             
635    0.00373   0.0120     0.0373                             
636    0.00293   0.00986    0.0323                              
637    0.00252   0.0087     0.0294                             
638    0.00216   0.00766    0.0266                              
639    0.00178   0.00653    0.0235                              
640    0.00141   0.00538    0.0203                              
