# REACTION:	nitrate radical → NO2+O
# NO3 → NO+O2
# AUTHOR(YEAR):	Johnston(1996)
# T:	190K, 230K, 298K
# λ:	586-640nm
# BIBLIOGRAPHY:	H.S Johnston, H.F. Davis, and Y.T. Lee, 
# "NO3 photolysis product channels: Quantum yields from observed energy thresholds", 
# J. Phys. Chem. 100, 4713-4723 (1996); DOI: 10.1021/jp952692x
#
# recommended by JPL publication 15-10
# 
# nm    190 K     230 K      298 K
400    1.000     1.000      1.000
585    0.999     0.996      0.983         
586    0.961     0.970      0.967         
587    0.905     0.930      0.943         
588    0.779     0.836      0.885         
589    0.716     0.788      0.854         
590    0.602     0.696      0.793         
591    0.551     0.653      0.763         
592    0.505     0.614      0.734         
593    0.424     0.542      0.680         
594    0.390     0.510      0.654         
595    0.332     0.453      0.608         
596    0.307     0.429      0.587         
597    0.285     0.406      0.567         
598    0.249     0.367      0.531         
599    0.229     0.345      0.509         
600    0.196     0.307      0.472         
601    0.170     0.275      0.438         
602    0.153     0.254      0.415         
603    0.123     0.215      0.371         
604    0.111     0.198      0.351         
605    0.0944    0.176      0.323          
606    0.0800    0.155      0.296          
607    0.0719    0.143      0.280          
608    0.0621    0.128      0.259          
609    0.0530    0.113      0.238          
610    0.0481    0.105      0.226          
611    0.0422    0.0947     0.210           
612    0.0362    0.0840     0.193           
613    0.0326    0.0773     0.181           
614    0.0280    0.0684     0.166           
615    0.0229    0.0583     0.147           
616    0.0202    0.0527     0.137           
617    0.0173    0.0465     0.124           
618    0.0138    0.0386     0.108           
619    0.0121    0.0346     0.0993           
620    0.0102    0.0303     0.0897           
621    0.00803   0.0248     0.0769            
622    0.00699   0.0221     0.0704            
623    0.00607   0.0197     0.0643            
624    0.0048    0.0162     0.0552           
625    0.00394   0.0138     0.0487            
626    0.00339   0.0122     0.0442            
627    0.00283   0.0105     0.0393            
628    0.00226   0.00867    0.0339             
629    0.00181   0.00723    0.0294             
630    0.00153   0.00629    0.0264             
631    0.00129   0.00545    0.0236             
632    0.000969  0.00429    0.0195              
633    0.000838  0.0038     0.0177             
634    0.000724  0.00336    0.0161              
635    0.000624  0.00297    0.0146              
636    0.000462  0.0023     0.0119             
637    0.000396  0.00202    0.0107              
638    0.000338  0.00177    0.00957              
639    0.000288  0.00154    0.00856              
640    0.000224  0.00124    0.00715              
