#
# 16.8 - 59.0 nm
#
#   AUTHOR(YEAR): Hitchcock(1980)
#   T:  298K
#   λ:  16.8-155nm(e,e)
#   BIBLIOGRAPHY: A.P. Hitchcock, C.E. Brion, and M.J. van der Wiel, 
#   "Absolute oscillator-strengths for valence-shell ionic photofragmentation of N2O and CO2 (8-75 eV)", 
#   Chem. Phys. 45, 461-478 (1980); DOI: 10.1016/0301-0104(80)87015-7
#   COMMENTS: Measured by dipole (e,e) spectroscopy; energies E (in eV) and differential oscillator strengths 
#   df/dE (in 10-2 eV-1) converted to wavelengths and absorption cross sections,
#   σ (in 10-18 cm2 molecule-1) = 109.75 df/dE (in eV-1)
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 60.0 - 99.9 nm:
#
#   AUTHOR(YEAR): Cook(1968)
#   T:  298K
#   λ:  60.0-99.9nm
#   BIBLIOGRAPHY: G.R. Cook, P.H. Metzger, and M. Ogawa, "Photoionization and absorption coefficients of N2O", 
#   J. Opt. Soc. Am. 58, 129-136 (1968); DOI: 10.1364/JOSA.58.000129
#   COMMENTS: Absorption measurements at a spectral resolution of 0.05 nm using the Hopfield-continuum light source
#   Absorption coefficients k in (atm, 273 K)-1 cm-1 (base e) from Table I converted to absorption cross sections; 
#   conversion factor 3.72×10-20
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 108.20 - 122.18 nm:
#
#   AUTHOR(YEAR): Zelikoff(1953)
#   T:  298K
#   λ:  108.2-122.6nm
#   BIBLIOGRAPHY: M. Zelikoff, K. Watanabe, and E.C.Y. Inn, 
#   "Absorption coefficients of gases in the vacuum ultraviolet. Part II. Nitrous oxide", 
#   J. Chem. Phys. 21, 1643-1647 (1953); DOI: 10.1063/1.1698636
#   COMMENTS: Absorption measurements using a vacuum monochromator with a band width of 0.085 nm and a hydrogen 
#   discharge light source
#   Absorption coefficients k (atm, 273 K)-1 cm-1 (base e) plotted in Fig. 1 have been digitized and converted to 
#   absorption cross sections (conversion factor 3.72×10-20)
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 122.25 - 172.88 nm:
#
#   AUTHOR(YEAR): Rabalais(1971)
#   T:  298K
#   λ:  122.25-214.65nm
#   BIBLIOGRAPHY: J.W. Rabalais, J.M. McDonald, V. Scherr, and S.P. McGlynn, "Electronic spectroscopy of isoelectronic molecules. II. 
#   Linear triatomic groupings containing sixteen valence electrons", Chem. Rev. 71, 73-108 (1971); DOI: 10.1021/cr60269a004
#   COMMENTS: Absorption spectra were recorded on Cary 14 and 15 and McPherson 225 (1-m) spectrophotomers, absorption pathlengths 
#   ranged from 0.1 to 10 cm
#   Extinction coefficients vs. wavenumber as plotted in Fig. 9 have been digitized and converted to absorption cross sections 
#   (conversion factor 3.8235×10-21) vs. wavelength
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 173 - 210 nm:
#
#  FORMULA:	N2O
#  AUTHOR(YEAR):	Selwyn(1977)
#  T:	194K, 225K, 243K, 263K, 302K
#  λ:	173-210nm
#  BIBLIOGRAPHY:	G. Selwyn, J. Podolske, and H.S. Johnston, 
#  "Nitrous oxide ultraviolet absorption spectrum at stratospheric temperatures", 
#  Geophys. Res. Lett. 4, 427-430 (1977); DOI: 10.1029/GL004i010p00427
#  COMMENTS:	Data points were taken every 0.2 nm over the wavelength range studied with a resolution of 0.7 nm
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#  
#  nm     194 K      225 K      243 K      263 K      302 K
 16.8   8.00e-18   8.00e-18   8.00e-18   8.00e-18   8.00e-18
 17.2   8.69e-18   8.69e-18   8.69e-18   8.69e-18   8.69e-18
 17.7   9.07e-18   9.07e-18   9.07e-18   9.07e-18   9.07e-18
 18.2   9.69e-18   9.69e-18   9.69e-18   9.69e-18   9.69e-18
 18.8   1.04e-17   1.04e-17   1.04e-17   1.04e-17   1.04e-17
 19.1   1.08e-17   1.08e-17   1.08e-17   1.08e-17   1.08e-17
 19.4   1.10e-17   1.10e-17   1.10e-17   1.10e-17   1.10e-17
 19.7   1.11e-17   1.11e-17   1.11e-17   1.11e-17   1.11e-17
 20.0   1.19e-17   1.19e-17   1.19e-17   1.19e-17   1.19e-17
 20.3   1.17e-17   1.17e-17   1.17e-17   1.17e-17   1.17e-17
 20.7   1.26e-17   1.26e-17   1.26e-17   1.26e-17   1.26e-17
 21.0   1.28e-17   1.28e-17   1.28e-17   1.28e-17   1.28e-17
 21.4   1.31e-17   1.31e-17   1.31e-17   1.31e-17   1.31e-17
 21.8   1.36e-17   1.36e-17   1.36e-17   1.36e-17   1.36e-17
 22.1   1.39e-17   1.39e-17   1.39e-17   1.39e-17   1.39e-17
 22.5   1.49e-17   1.49e-17   1.49e-17   1.49e-17   1.49e-17
 23.0   1.52e-17   1.52e-17   1.52e-17   1.52e-17   1.52e-17
 23.4   1.53e-17   1.53e-17   1.53e-17   1.53e-17   1.53e-17
 23.8   1.57e-17   1.57e-17   1.57e-17   1.57e-17   1.57e-17
 24.3   1.60e-17   1.60e-17   1.60e-17   1.60e-17   1.60e-17
 24.8   1.65e-17   1.65e-17   1.65e-17   1.65e-17   1.65e-17
 25.3   1.62e-17   1.62e-17   1.62e-17   1.62e-17   1.62e-17
 25.8   1.70e-17   1.70e-17   1.70e-17   1.70e-17   1.70e-17
 26.4   1.77e-17   1.77e-17   1.77e-17   1.77e-17   1.77e-17
 27.0   1.77e-17   1.77e-17   1.77e-17   1.77e-17   1.77e-17
 27.6   1.76e-17   1.76e-17   1.76e-17   1.76e-17   1.76e-17
 28.2   1.79e-17   1.79e-17   1.79e-17   1.79e-17   1.79e-17
 28.8   1.83e-17   1.83e-17   1.83e-17   1.83e-17   1.83e-17
 29.5   1.88e-17   1.88e-17   1.88e-17   1.88e-17   1.88e-17
 30.2   2.05e-17   2.05e-17   2.05e-17   2.05e-17   2.05e-17
 31.0   2.11e-17   2.11e-17   2.11e-17   2.11e-17   2.11e-17
 31.8   2.14e-17   2.14e-17   2.14e-17   2.14e-17   2.14e-17
 32.6   2.28e-17   2.28e-17   2.28e-17   2.28e-17   2.28e-17
 33.5   2.40e-17   2.40e-17   2.40e-17   2.40e-17   2.40e-17
 34.4   2.57e-17   2.57e-17   2.57e-17   2.57e-17   2.57e-17
 35.4   2.66e-17   2.66e-17   2.66e-17   2.66e-17   2.66e-17
 36.5   2.73e-17   2.73e-17   2.73e-17   2.73e-17   2.73e-17
 37.6   2.74e-17   2.74e-17   2.74e-17   2.74e-17   2.74e-17
 38.7   2.76e-17   2.76e-17   2.76e-17   2.76e-17   2.76e-17
 40.0   2.83e-17   2.83e-17   2.83e-17   2.83e-17   2.83e-17
 41.3   2.84e-17   2.84e-17   2.84e-17   2.84e-17   2.84e-17
 42.8   2.89e-17   2.89e-17   2.89e-17   2.89e-17   2.89e-17
 44.3   2.95e-17   2.95e-17   2.95e-17   2.95e-17   2.95e-17
 45.9   2.93e-17   2.93e-17   2.93e-17   2.93e-17   2.93e-17
 47.7   2.90e-17   2.90e-17   2.90e-17   2.90e-17   2.90e-17
 49.6   3.01e-17   3.01e-17   3.01e-17   3.01e-17   3.01e-17
 51.7   3.26e-17   3.26e-17   3.26e-17   3.26e-17   3.26e-17
 53.9   3.48e-17   3.48e-17   3.48e-17   3.48e-17   3.48e-17
 56.4   3.60e-17   3.60e-17   3.60e-17   3.60e-17   3.60e-17
 59.0   3.71e-17   3.71e-17   3.71e-17   3.71e-17   3.71e-17
 60.00  3.31e-17   3.31e-17   3.31e-17   3.31e-17   3.31e-17
 61.00  3.35e-17   3.35e-17   3.35e-17   3.35e-17   3.35e-17
 61.85  3.31e-17   3.31e-17   3.31e-17   3.31e-17   3.31e-17
 62.40  3.39e-17   3.39e-17   3.39e-17   3.39e-17   3.39e-17
 62.60  3.87e-17   3.87e-17   3.87e-17   3.87e-17   3.87e-17
 62.70  3.46e-17   3.46e-17   3.46e-17   3.46e-17   3.46e-17
 62.90  3.72e-17   3.72e-17   3.72e-17   3.72e-17   3.72e-17
 63.20  2.98e-17   2.98e-17   2.98e-17   2.98e-17   2.98e-17
 63.40  3.57e-17   3.57e-17   3.57e-17   3.57e-17   3.57e-17
 63.50  3.27e-17   3.27e-17   3.27e-17   3.27e-17   3.27e-17
 63.60  3.65e-17   3.65e-17   3.65e-17   3.65e-17   3.65e-17
 64.10  3.35e-17   3.35e-17   3.35e-17   3.35e-17   3.35e-17
 64.40  4.39e-17   4.39e-17   4.39e-17   4.39e-17   4.39e-17
 64.70  3.42e-17   3.42e-17   3.42e-17   3.42e-17   3.42e-17
 64.90  3.87e-17   3.87e-17   3.87e-17   3.87e-17   3.87e-17
 65.20  2.86e-17   2.86e-17   2.86e-17   2.86e-17   2.86e-17
 65.45  3.31e-17   3.31e-17   3.31e-17   3.31e-17   3.31e-17
 65.60  3.27e-17   3.27e-17   3.27e-17   3.27e-17   3.27e-17
 65.80  3.68e-17   3.68e-17   3.68e-17   3.68e-17   3.68e-17
 66.40  3.53e-17   3.53e-17   3.53e-17   3.53e-17   3.53e-17
 66.70  4.76e-17   4.76e-17   4.76e-17   4.76e-17   4.76e-17
 66.85  5.58e-17   5.58e-17   5.58e-17   5.58e-17   5.58e-17
 67.20  3.83e-17   3.83e-17   3.83e-17   3.83e-17   3.83e-17
 67.70  3.76e-17   3.76e-17   3.76e-17   3.76e-17   3.76e-17
 67.90  4.80e-17   4.80e-17   4.80e-17   4.80e-17   4.80e-17
 68.10  3.94e-17   3.94e-17   3.94e-17   3.94e-17   3.94e-17
 68.40  3.94e-17   3.94e-17   3.94e-17   3.94e-17   3.94e-17
 69.00  3.87e-17   3.87e-17   3.87e-17   3.87e-17   3.87e-17
 69.50  3.91e-17   3.91e-17   3.91e-17   3.91e-17   3.91e-17
 69.80  3.22e-17   3.22e-17   3.22e-17   3.22e-17   3.22e-17
 70.10  3.98e-17   3.98e-17   3.98e-17   3.98e-17   3.98e-17
 70.50  3.79e-17   3.79e-17   3.79e-17   3.79e-17   3.79e-17
 70.70  4.05e-17   4.05e-17   4.05e-17   4.05e-17   4.05e-17
 71.00  3.66e-17   3.66e-17   3.66e-17   3.66e-17   3.66e-17
 71.30  3.65e-17   3.65e-17   3.65e-17   3.65e-17   3.65e-17
 72.00  3.61e-17   3.61e-17   3.61e-17   3.61e-17   3.61e-17
 72.30  3.96e-17   3.96e-17   3.96e-17   3.96e-17   3.96e-17
 72.50  3.79e-17   3.79e-17   3.79e-17   3.79e-17   3.79e-17
 72.75  3.87e-17   3.87e-17   3.87e-17   3.87e-17   3.87e-17
 73.00  3.70e-17   3.70e-17   3.70e-17   3.70e-17   3.70e-17
 73.25  3.96e-17   3.96e-17   3.96e-17   3.96e-17   3.96e-17
 73.40  3.68e-17   3.68e-17   3.68e-17   3.68e-17   3.68e-17
 73.75  3.91e-17   3.91e-17   3.91e-17   3.91e-17   3.91e-17
 74.00  3.79e-17   3.79e-17   3.79e-17   3.79e-17   3.79e-17
 74.25  4.39e-17   4.39e-17   4.39e-17   4.39e-17   4.39e-17
 74.50  3.91e-17   3.91e-17   3.91e-17   3.91e-17   3.91e-17
 74.70  4.24e-17   4.24e-17   4.24e-17   4.24e-17   4.24e-17
 74.90  4.17e-17   4.17e-17   4.17e-17   4.17e-17   4.17e-17
 74.95  4.09e-17   4.09e-17   4.09e-17   4.09e-17   4.09e-17
 75.10  3.87e-17   3.87e-17   3.87e-17   3.87e-17   3.87e-17
 75.20  4.09e-17   4.09e-17   4.09e-17   4.09e-17   4.09e-17
 75.35  4.02e-17   4.02e-17   4.02e-17   4.02e-17   4.02e-17
 75.40  4.24e-17   4.24e-17   4.24e-17   4.24e-17   4.24e-17
 75.45  4.20e-17   4.20e-17   4.20e-17   4.20e-17   4.20e-17
 75.50  4.35e-17   4.35e-17   4.35e-17   4.35e-17   4.35e-17
 75.58  3.79e-17   3.79e-17   3.79e-17   3.79e-17   3.79e-17
 75.65  4.43e-17   4.43e-17   4.43e-17   4.43e-17   4.43e-17
 75.75  3.68e-17   3.68e-17   3.68e-17   3.68e-17   3.68e-17
 75.85  4.61e-17   4.61e-17   4.61e-17   4.61e-17   4.61e-17
 75.90  4.32e-17   4.32e-17   4.32e-17   4.32e-17   4.32e-17
 76.05  4.17e-17   4.17e-17   4.17e-17   4.17e-17   4.17e-17
 76.10  3.91e-17   3.91e-17   3.91e-17   3.91e-17   3.91e-17
 76.15  4.87e-17   4.87e-17   4.87e-17   4.87e-17   4.87e-17
 76.20  3.94e-17   3.94e-17   3.94e-17   3.94e-17   3.94e-17
 76.27  4.76e-17   4.76e-17   4.76e-17   4.76e-17   4.76e-17
 76.35  3.01e-17   3.01e-17   3.01e-17   3.01e-17   3.01e-17
 76.40  4.17e-17   4.17e-17   4.17e-17   4.17e-17   4.17e-17
 76.50  2.72e-17   2.72e-17   2.72e-17   2.72e-17   2.72e-17
 76.65  5.32e-17   5.32e-17   5.32e-17   5.32e-17   5.32e-17
 76.70  3.70e-17   3.70e-17   3.70e-17   3.70e-17   3.70e-17
 76.75  3.87e-17   3.87e-17   3.87e-17   3.87e-17   3.87e-17
 76.85  3.11e-17   3.11e-17   3.11e-17   3.11e-17   3.11e-17
 76.92  5.80e-17   5.80e-17   5.80e-17   5.80e-17   5.80e-17
 77.00  4.61e-17   4.61e-17   4.61e-17   4.61e-17   4.61e-17
 77.15  2.83e-17   2.83e-17   2.83e-17   2.83e-17   2.83e-17
 77.23  2.60e-17   2.60e-17   2.60e-17   2.60e-17   2.60e-17
 77.40  8.26e-17   8.26e-17   8.26e-17   8.26e-17   8.26e-17
 77.50  5.43e-17   5.43e-17   5.43e-17   5.43e-17   5.43e-17
 77.55  5.80e-17   5.80e-17   5.80e-17   5.80e-17   5.80e-17
 77.60  5.25e-17   5.25e-17   5.25e-17   5.25e-17   5.25e-17
 77.65  5.43e-17   5.43e-17   5.43e-17   5.43e-17   5.43e-17
 77.80  3.12e-17   3.12e-17   3.12e-17   3.12e-17   3.12e-17
 77.90  3.53e-17   3.53e-17   3.53e-17   3.53e-17   3.53e-17
 78.00  3.16e-17   3.16e-17   3.16e-17   3.16e-17   3.16e-17
 78.10  3.79e-17   3.79e-17   3.79e-17   3.79e-17   3.79e-17
 78.25  1.02e-16   1.02e-16   1.02e-16   1.02e-16   1.02e-16
 78.40  2.83e-17   2.83e-17   2.83e-17   2.83e-17   2.83e-17
 78.50  3.20e-17   3.20e-17   3.20e-17   3.20e-17   3.20e-17
 78.60  2.19e-17   2.19e-17   2.19e-17   2.19e-17   2.19e-17
 78.70  2.31e-17   2.31e-17   2.31e-17   2.31e-17   2.31e-17
 78.85  3.91e-17   3.91e-17   3.91e-17   3.91e-17   3.91e-17
 79.00  6.47e-17   6.47e-17   6.47e-17   6.47e-17   6.47e-17
 79.30  2.05e-17   2.05e-17   2.05e-17   2.05e-17   2.05e-17
 79.45  3.27e-17   3.27e-17   3.27e-17   3.27e-17   3.27e-17
 79.65  2.72e-17   2.72e-17   2.72e-17   2.72e-17   2.72e-17
 79.80  7.40e-17   7.40e-17   7.40e-17   7.40e-17   7.40e-17
 80.00  2.47e-17   2.47e-17   2.47e-17   2.47e-17   2.47e-17
 80.20  2.40e-17   2.40e-17   2.40e-17   2.40e-17   2.40e-17
 80.30  2.99e-17   2.99e-17   2.99e-17   2.99e-17   2.99e-17
 80.40  2.05e-17   2.05e-17   2.05e-17   2.05e-17   2.05e-17
 80.75  2.19e-17   2.19e-17   2.19e-17   2.19e-17   2.19e-17
