# 0          References for Cross Section of NO        Total   
# Cross section:                                                                  
# Lambda = 1.-180. A                                                              
#    Cross section synthesized from the atomic cross section of N and O           
# Lambda = 180.-580. A                                                            
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
# Lambda = 1350.-1910. A                                                          
#    Marmo, F. F. (1953)                                                          
#    J. Opt. Soc. Am. 43, 1186                                                    
#                                                                                 
# 0          References for Cross Section of NO        NO+     
# Branching ratios:                                                               
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#    (branching for all ionization)                                               
# Lambda = 0.-620. A                                                              
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#    (branching within total ionization branch)                                   
# Threshold:                                                                      
# Lambda = 1340. A                                                                
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#                                                                                 
# 0          References for Cross Section of NO        O+N     
# Branching ratio and threshold:                                                  
# Lambda = 304.-616.2 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of NO        N+O     
# Branching ratio and threshold:                                                  
# Lambda = 304.-589.3 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0 Branching ratio for NO       Total        4 branches
#  Lambda  Total   
   0.10 1.10E-22 
   0.50 1.57E-20 
   1.00 1.10E-19 
   1.20 1.81E-19 
   1.40 2.90E-19 
   1.50 3.40E-19 
   1.60 3.90E-19 
   1.70 4.60E-19 
   1.80 5.30E-19 
   1.90 6.00E-19 
   2.00 7.10E-19 
   2.10 7.80E-19 
   2.20 8.90E-19 
   2.60 5.78E-19 
   2.80 6.96E-19 
   3.00 7.74E-19 
   3.50 1.24E-19 
   4.00 1.73E-19 
   4.50 2.25E-19 
   5.00 2.90E-19 
   6.00 4.60E-19 
   7.00 6.90E-19 
   8.00 9.90E-19 
   9.00 1.41E-18 
  10.00 1.84E-18 
  11.00 2.33E-18 
  12.00 2.86E-18 
  13.00 3.40E-18 
  15.00 4.51E-18 
  20.00 7.70E-18 
  25.00 1.10E-17 
  30.00 1.38E-17 
  35.00 1.63E-17 
  40.00 1.82E-17 
  45.00 2.10E-17 
  50.00 2.29E-17 
  55.00 2.40E-17 
  58.43 2.31E-17 
  59.63 2.57E-17 
  60.14 2.38E-17 
  61.56 2.42E-17 
  61.62 2.41E-17 
  62.25 2.31E-17 
  63.25 2.08E-17 
  64.25 2.16E-17 
  65.25 2.16E-17 
  66.19 1.94E-17 
  67.20 1.82E-17 
  68.11 1.86E-17 
  68.24 2.05E-17 
  68.37 1.79E-17 
  68.47 1.94E-17 
  68.57 1.79E-17 
  68.68 2.27E-17 
  68.74 2.34E-17 
  68.86 1.86E-17 
  69.04 2.38E-17 
  69.17 2.01E-17 
  69.27 2.20E-17 
  69.43 1.82E-17 
  69.57 2.87E-17 
  69.68 2.12E-17 
  69.79 2.31E-17 
  69.91 1.86E-17 
  69.95 1.90E-17 
  69.99 2.01E-17 
  70.02 1.94E-17 
  70.06 2.01E-17 
  70.13 1.86E-17 
  70.21 1.90E-17 
  70.35 2.16E-17 
  70.46 1.94E-17 
  70.60 2.75E-17 
  70.79 1.97E-17 
  70.82 2.16E-17 
  70.85 2.05E-17 
  70.91 2.27E-17 
  71.06 1.64E-17 
  71.19 2.05E-17 
  71.24 1.94E-17 
  71.30 2.12E-17 
  71.38 2.05E-17 
  71.44 2.20E-17 
  71.67 1.56E-17 
  71.75 2.08E-17 
  71.81 2.23E-17 
  71.85 1.94E-17 
  71.89 2.27E-17 
  71.93 2.31E-17 
  71.98 2.20E-17 
  72.03 2.49E-17 
  72.18 1.79E-17 
  72.20 1.82E-17 
  72.25 1.64E-17 
  72.31 1.79E-17 
  72.34 1.86E-17 
  72.37 2.20E-17 
  72.40 2.31E-17 
  72.44 2.34E-17 
  72.53 2.42E-17 
  72.56 2.68E-17 
  72.60 2.72E-17 
  72.65 2.87E-17 
  72.74 2.23E-17 
  72.77 2.23E-17 
  72.81 1.94E-17 
  72.91 3.39E-17 
  72.95 3.05E-17 
  72.99 2.90E-17 
  73.07 2.20E-17 
  73.13 2.23E-17 
  73.17 2.75E-17 
  73.21 2.57E-17 
  73.24 2.57E-17 
  73.41 1.60E-17 
  73.45 1.53E-17 
  73.48 1.56E-17 
  73.53 1.82E-17 
  73.59 1.90E-17 
  73.64 1.67E-17 
  73.68 1.64E-17 
  73.74 1.79E-17 
  73.79 2.53E-17 
  73.86 2.72E-17 
  74.03 1.45E-17 
  74.10 1.41E-17 
