#
#
#
#---------------------------------------------------------------
# DATAFILE:   NO2_Vandaele(1998)_220K_238-667nm.txt
# NAME:   nitrogen dioxide
# FORMULA:    NO2
# AUTHOR(YEAR):   Vandaele(1998)
# T:  220K, 294K
# λ:  238-667nm
# BIBLIOGRAPHY:   A.C. Vandaele, C. Hermans, P.C. Simon, M. Carleer, R. Colins, S. Fally, 
# M.F. Mérienne, A. Jenouvrier, and B. Coquart, 
# "Measurements of the NO2 absorption cross-sections from 42000 cm-1 to 10000 cm-1 (238-1000 nm) at 220 K and 294 K", 
# J. Quant. Spectrosc. Radiat. Transfer 59, 171-184 (1998); DOI: 10.1016/S0022-4073(97)00168-4
# COMMENTS:   Absorption measurements using a Fourier transform spectrometer at a spectral resolution of 2 cm-1 
# (0.01 nm at 240 nm to 0.2 nm at 1000 nm)
# Data file from the webpage of the Belgian Institute for Space Aeronomy
# http://spectrolab.aeronomie.be/index.htm
#
# data is downloaded from Spectral Atlas
#  Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#  The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#  Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
# 
# Non diluted NO2
# temperature = 220 K, 294 K
# pressures: from 0.007 to 2 torr
# path lengths: 20 and 60 m
# 
#  nm         220 K          294 K
   0.06     3.80E-23      3.80E-23
   0.11     3.70E-22      3.70E-22
   0.24     3.00E-21      3.00E-21
   0.62     4.60E-20      4.60E-20
   1.26     3.40E-19      3.40E-19
   2.26     1.90E-18      1.90E-18
   2.36     4.90E-19      4.90E-19
   2.46     5.40E-19      5.40E-19
   2.91     8.20E-19      8.20E-19
   3.04     1.50E-19      1.50E-19
   6.21     9.00E-19      9.00E-19
  12.17     4.10E-18      4.10E-18
  24.86     1.50E-17      1.50E-17
  62.58     3.90E-17      3.90E-17
  91.50     4.50E-17      4.50E-17
  94.00     3.00E-17      3.00E-17
 108.00     9.35E-18      9.35E-18
 110.00     1.30E-17      1.30E-17
 112.00     1.19E-17      1.19E-17
 114.00     1.12E-17      1.12E-17
 116.00     7.44E-18      7.44E-18
 118.00     7.82E-18      7.82E-18
 120.00     7.06E-18      7.06E-18
 122.00     1.03E-17      1.03E-17
 124.00     1.77E-17      1.77E-17
 126.00     2.98E-17      2.98E-17
 128.00     2.90E-17      2.90E-17
 130.00     1.34E-17      1.34E-17
 132.00     6.32E-18      6.32E-18
 134.00     1.15E-17      1.15E-17
 136.00     8.56E-18      8.56E-18
 138.00     1.03E-17      1.03E-17
 140.00     1.12E-17      1.12E-17
 142.00     1.30E-17      1.30E-17
 144.00     1.90E-17      1.90E-17
 146.00     1.23E-17      1.23E-17
 148.00     1.04E-17      1.04E-17
 150.00     1.08E-17      1.08E-17
 152.00     2.01E-17      2.01E-17
 154.00     1.54E-17      1.54E-17
 156.00     1.50E-17      1.50E-17
 158.00     1.41E-17      1.41E-17
 160.00     1.48E-17      1.48E-17
 165.00     1.57E-17      1.57E-17
 170.00     1.64E-17      1.64E-17
 175.00     1.04E-17      1.04E-17
 180.00     6.32E-18      6.32E-18
 185.00     2.60E-19      2.60E-19
 185.13     2.57E-19      2.57E-19
 185.25     2.71E-19      2.71E-19
 185.38     2.46E-19      2.46E-19
 185.50     2.46E-19      2.46E-19
 185.63     2.72E-19      2.72E-19
 185.75     2.39E-19      2.39E-19
 185.88     2.65E-19      2.65E-19
 186.00     2.69E-19      2.69E-19
 186.13     2.77E-19      2.77E-19
 186.25     2.78E-19      2.78E-19
 186.38     2.34E-19      2.34E-19
 186.50     2.40E-19      2.40E-19
 186.63     2.71E-19      2.71E-19
 186.75     2.75E-19      2.75E-19
 186.88     2.47E-19      2.47E-19
 187.00     2.61E-19      2.61E-19
 187.13     2.62E-19      2.62E-19
 187.25     2.77E-19      2.77E-19
 187.38     2.60E-19      2.60E-19
