# 0          References for Cross Section of NO        Total   
# Cross section:                                                                  
# Lambda = 1.-180. A                                                              
#    Cross section synthesized from the atomic cross section of N and O           
# Lambda = 180.-580. A                                                            
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
# Lambda = 1350.-1910. A                                                          
#    Marmo, F. F. (1953)                                                          
#    J. Opt. Soc. Am. 43, 1186                                                    
#                                                                                 
# 0          References for Cross Section of NO        NO+     
# Branching ratios:                                                               
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#    (branching for all ionization)                                               
# Lambda = 0.-620. A                                                              
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#    (branching within total ionization branch)                                   
# Threshold:                                                                      
# Lambda = 1340. A                                                                
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#                                                                                 
# 0          References for Cross Section of NO        O+N     
# Branching ratio and threshold:                                                  
# Lambda = 304.-616.2 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of NO        N+O     
# Branching ratio and threshold:                                                  
# Lambda = 304.-589.3 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0 Branching ratio for NO       Total        4 branches
#  Lambda  Total   
   0.10 1.11E-26
   0.50 7.90E-24
   1.00 1.11E-22
   1.20 2.19E-22
   1.40 4.09E-22
   1.50 5.14E-22
   1.60 6.28E-22
   1.70 7.87E-22
   1.80 9.61E-22
   1.90 1.15E-21
   2.00 1.43E-21
   2.10 1.65E-21
   2.20 1.97E-21
   2.60 1.51E-21
   2.80 1.96E-21
   3.00 2.34E-21
   3.50 4.37E-22
   4.00 6.97E-22
   4.50 1.02E-21
   5.00 1.46E-21
   6.00 2.78E-21
   7.00 4.86E-21
   8.00 7.97E-21
   9.00 1.28E-20
  10.00 1.85E-20
  11.00 2.58E-20
  12.00 3.46E-20
  13.00 4.45E-20
  15.00 6.81E-20
  20.00 1.55E-19
  25.00 2.77E-19
  30.00 4.17E-19
  35.00 5.82E-19
  40.00 7.51E-19
  45.00 9.76E-19
  50.00 1.17E-18
  55.00 1.35E-18
  58.43 1.50E-18
  59.63 1.92E-18
  60.14 1.30E-18
  61.56 1.15E-18
  61.62 1.08E-18
  62.25 4.62E-19
  63.25 4.16E-19
  64.25 1.30E-18
  65.25 8.64E-19
  66.19 3.88E-19
  67.20 5.46E-19
  68.11 1.12E-18
  68.24 1.64E-18
  68.37 5.37E-19
  68.47 1.75E-18
  68.57 1.07E-18
  68.68 2.24E-18
  68.74 2.81E-18
  68.86 1.12E-18
  69.04 1.90E-18
  69.17 2.01E-18
  69.27 1.54E-18
  69.43 1.64E-18
  69.57 2.42E-18
  69.68 1.70E-18
  69.79 3.00E-18
  69.91 1.49E-18
  69.95 1.62E-18
  69.99 1.83E-18
  70.02 1.84E-18
  70.06 2.02E-18
  70.13 2.05E-18
  70.21 1.33E-18
  70.35 3.46E-18
  70.46 3.10E-18
  70.60 4.40E-18
  70.79 2.76E-18
  70.82 3.02E-18
